i15,e01,c2,p35,l3,4378
i75,e01,c1,p35,l3,1720
i41,e09,c1,p11,l3,1722
i23,e04,c5,p35,l3,1720
i19,e08,c5,p35,l3,1734
i34,e09,c5,p24,l3,1730
i17,e09,c3,p19,l3,1723
i54,e04,c1,p35,l3,1720
i05,e09,c1,p04,l3,1721
i30,e04,c1,p18,l3,3440
i34,e04,c5,p14,l3,1721
i34,e08,c5,p13,l3,1723
i17,e09,c5,p08,l3,1721
i03,e04,c5,p35,l3,1720
i38,e10,c1,p23,l1,2
i06,e09,c3,p23,l2,1
i07,e04,c5,p07,l3,1720
i14,e01,c5,p08,l3,1720
i16,e09,c5,p08,l3,1720
i05,e01,c1,p08,l3,1720
i38,e10,c1,p21,l3,17460
i06,e10,c5,p18,l3,29627
i06,e10,c5,p09,l3,17333
i06,e12,c5,p35,l3,2103
i06,e12,c5,p19,l3,2443
i67,e10,c5,p11,l3,1721
i06,e10,c5,p08,l4,2545
i38,e11,c1,p09,l2,1795
i38,e06,c1,p03,l3,2158
i02,e04,c1,p03,l3,2142
i06,e04,c5,p19,l1,542
i38,e10,c4,p08,l3,1753
i06,e04,c5,p29,l1,148
i14,e08,c5,p12,l3,1780
i05,e03,c1,p12,l3,1720
i34,e09,c5,p32,l3,1739
i02,e01,c1,p23,l3,1751
i34,e03,c5,p07,l3,1775
i34,e03,c5,p21,l3,1871
i06,e01,c5,p20,l3,1728
i38,e06,c1,p28,l3,1788
i38,e10,c4,p21,l4,1743
i38,e08,c1,p12,l2,188
i13,e11,c5,p05,l3,1723
i12,e08,c5,p19,l3,1739
i63,e10,c1,p10,l2,269
i38,e08,c1,p16,l2,82
i02,e01,c1,p16,l3,1790
i38,e10,c4,p24,l3,1779
i21,e04,c1,p10,l3,1738
i43,e08,c1,p10,l3,1766
i06,e10,c5,p21,l2,60
i05,e08,c1,p24,l3,1728
i41,e04,c1,p10,l3,1727
i06,e07,c5,p10,l2,3
i07,e09,c5,p35,l3,1726
i17,e01,c5,p32,l3,1722
i12,e08,c5,p10,l3,1746
i34,e01,c5,p16,l3,1726
i39,e09,c5,p10,l3,1745
i30,e09,c1,p10,l3,1728
i38,e08,c4,p03,l2,3
i34,e01,c5,p19,l3,1734
i17,e04,c5,p08,l3,1729
i07,e09,c5,p32,l3,1722
i41,e07,c1,p01,l3,1723
i05,e03,c1,p01,l3,1721
i18,e07,c1,p35,l3,1720
i38,e06,c4,p09,l3,1733
i06,e04,c3,p21,l1,2
i14,e04,c5,p35,l3,1723
i21,e03,c1,p11,l3,1721
i34,e09,c5,p05,l3,1728
i16,e01,c5,p12,l3,1725
i01,e11,c1,p29,l3,1721
i41,e09,c1,p16,l3,1721
i17,e04,c5,p26,l3,1724
i38,e10,c4,p20,l3,1723
i21,e05,c1,p19,l3,1720
i41,e08,c1,p05,l3,1721
i38,e04,c1,p18,l1,1722
i38,e07,c1,p05,l2,2
i75,e04,c1,p35,l3,1720
i38,e06,c7,p32,l3,3441
i05,e03,c1,p02,l3,1720
i38,e12,c1,p24,l3,1722
i13,e08,c5,p11,l3,1720
i27,e04,c5,p02,l3,1720
i39,e04,c5,p22,l3,1721
i46,e01,c1,p22,l3,1721
i23,e08,c5,p05,l3,1721
i41,e07,c1,p07,l3,1720
i06,e02,c5,p35,l1,1
i66,e04,c3,p07,l3,1720
i33,e08,c1,p01,l3,1721
i05,e07,c1,p18,l3,3439
i17,e01,c3,p19,l3,1720
i27,e01,c5,p10,l3,1720
i38,e07,c1,p23,l2,1
i38,e11,c4,p31,l2,1720
i06,e02,c5,p15,l1,1
i24,e08,c1,p15,l3,1720
i66,e04,c3,p11,l3,1720
i38,e09,c1,p15,l2,72
i06,e10,c5,p06,l3,25202
i06,e10,c5,p21,l3,49337
i06,e10,c5,p15,l4,5540
i06,e11,c5,p13,l2,1966
i06,e12,c5,p03,l3,1946
i15,e01,c6,p35,l3,3496
i38,e10,c1,p22,l3,6506
i06,e04,c5,p06,l1,135
i06,e04,c5,p03,l1,187
i34,e08,c5,p22,l3,1733
i01,e08,c1,p01,l3,1742
i38,e01,c1,p15,l3,1785
i38,e10,c4,p19,l3,2070
i02,e08,c1,p07,l3,2331
i17,e01,c5,p01,l3,1740
i38,e11,c1,p16,l2,1837
i38,e10,c4,p02,l3,2056
i06,e10,c5,p18,l1,1813
i06,e10,c5,p12,l2,69
i34,e03,c5,p15,l3,1844
i34,e09,c5,p01,l3,1739
i41,e08,c1,p21,l3,1738
i38,e10,c7,p13,l4,3461
i17,e08,c5,p26,l3,1721
i19,e10,c5,p10,l2,4
i27,e01,c5,p19,l3,1721
i06,e10,c5,p29,l1,40
i06,e10,c5,p07,l1,57
i39,e09,c5,p19,l3,1734
i38,e09,c1,p08,l2,34
i46,e11,c4,p35,l3,1838
i48,e11,c1,p35,l3,1739
i41,e08,c1,p18,l3,3452
i41,e01,c1,p04,l3,1723
i31,e09,c1,p35,l3,1725
i14,e04,c5,p21,l3,1763
i38,e10,c4,p24,l4,1733
i34,e03,c5,p20,l3,1760
i02,e08,c1,p06,l3,1802
i17,e04,c5,p07,l3,1740
i06,e02,c5,p12,l1,1
i34,e01,c5,p23,l3,1722
i39,e09,c5,p21,l3,1731
i63,e11,c1,p10,l3,1723
i34,e01,c5,p05,l3,1736
i34,e04,c5,p18,l3,3457
i16,e08,c5,p03,l3,1728
i38,e08,c4,p10,l2,7
i41,e01,c1,p03,l3,1722
i05,e06,c1,p12,l3,1724
i67,e10,c5,p02,l3,1721
i05,e06,c1,p19,l3,1738
i38,e06,c4,p28,l3,1734
i06,e01,c5,p33,l3,1720
i06,e11,c5,p26,l2,1756
i30,e04,c1,p12,l3,1726
i14,e09,c5,p05,l3,1723
i05,e01,c1,p05,l3,1721
i38,e05,c1,p10,l1,3
i14,e08,c5,p11,l3,1733
i05,e12,c1,p29,l3,1725
i30,e04,c1,p15,l3,1724
i42,e02,c5,p15,l3,1720
i38,e12,c1,p21,l3,1726
i07,e08,c5,p15,l3,1729
i34,e09,c5,p16,l3,1723
i05,e01,c1,p11,l3,1721
i21,e03,c1,p03,l3,1720
i46,e04,c1,p01,l3,1722
i05,e12,c1,p04,l3,1722
i14,e01,c5,p13,l3,1724
i16,e09,c5,p16,l3,1720
i38,e10,c1,unknown,l4,1725
i41,e09,c1,p26,l3,1721
i05,e04,c1,p29,l3,1721
i27,e08,c5,p01,l3,1720
i39,e04,c5,p31,l3,1720
i38,e11,c4,p28,l2,1720
i01,e09,c1,p13,l3,1720
i38,e10,c4,p29,l1,1
i38,e07,c1,p12,l2,1
i38,e10,c4,p08,l2,1
i06,e07,c5,p09,l2,1
i38,e11,c4,p06,l2,1720
i21,e09,c1,p01,l3,1720
i06,e01,c5,p30,l3,1721
i16,e08,c5,p06,l3,1720
i06,e10,c5,p16,l3,49294
i06,e04,c5,p07,l1,140
i02,e09,c1,p21,l3,1882
i02,e04,c1,p11,l3,1975
i06,e07,c5,p24,l2,53
i17,e11,c5,p23,l3,1801
i06,e11,c5,p10,l2,2897
i34,e03,c5,p25,l3,1730
i46,e11,c1,p01,l3,2076
i02,e04,c1,p12,l3,1794
i17,e01,c5,p14,l3,1725
i47,e04,c1,p35,l3,2009
i06,e11,c5,p01,l2,2023
i38,e10,c4,p01,l4,1747
i17,e04,c5,p06,l3,1758
i06,e09,c5,p23,l2,28
i36,e04,c5,p35,l3,1741
i41,e09,c1,p10,l3,1726
i34,e08,c5,p10,l3,1842
i17,e11,c5,p19,l3,1807
i34,e08,c5,p15,l3,1746
i06,e04,c5,p13,l1,142
i63,e10,c1,p10,l4,1803
i38,e11,c1,p06,l2,1789
i07,e08,c5,p19,l3,1781
i34,e09,c5,p35,l3,1739
i46,e11,c1,p32,l3,1812
i01,e01,c1,p35,l3,1746
i06,e10,c3,p15,l4,1740
i17,e01,c5,p05,l3,1742
i03,e04,c5,p21,l3,1723
i46,e08,c1,p03,l3,1730
i01,e08,c1,p29,l3,1735
i38,e12,c1,p03,l3,1797
i14,e09,c5,p21,l3,1731
i16,e08,c5,p19,l3,1762
i02,e09,c1,p35,l3,1763
i67,e10,c5,p01,l3,1721
i06,e05,c5,p19,l1,17
i38,e06,c1,p35,l3,1782
i14,e11,c5,p05,l3,1722
i06,e10,c5,p20,l1,14
i18,e11,c1,p35,l3,1723
i39,e01,c5,p15,l3,1734
i05,e06,c1,p22,l3,1720
i29,e01,c5,p35,l3,1727
i12,e04,c5,p11,l3,1732
i05,e03,c1,p16,l3,1720
i39,e01,c5,p01,l3,1726
i19,e04,c5,p35,l3,1724
i05,e08,c1,p17,l3,1730
i34,e01,c5,p09,l3,1720
i17,e09,c5,p07,l3,1734
i13,e09,c5,p04,l3,1720
i32,e09,c5,p13,l3,1720
i67,e09,c5,p04,l3,1724
i38,e10,c1,p26,l2,4
i23,e03,c5,p18,l3,3439
i46,e08,c4,p19,l3,1721
i23,e09,c5,p22,l3,1722
i63,e03,c1,p35,l3,1720
i41,e04,c1,p26,l3,1720
i43,e09,c1,p17,l3,1730
i38,e09,c1,p26,l2,1
i43,e09,c1,p13,l3,1720
i03,e10,c5,p05,l3,1723
i19,e02,c5,p35,l3,1720
i14,e11,c5,p03,l3,1721
i46,e08,c1,p13,l3,1720
i48,e11,c1,p05,l3,1721
i38,e08,c4,p02,l2,1
i03,e04,c5,p19,l3,1722
i67,e04,c5,p10,l3,1721
i34,e08,c5,p33,l3,1720
i25,e08,c5,p19,l3,1720
i43,e04,c1,p18,l3,3439
i12,e04,c5,p21,l3,1720
i38,e10,c1,p13,l3,14566
i06,e10,c5,p08,l3,14170
i06,e10,c5,p19,l4,8046
i15,e09,c2,p35,l3,5109
i38,e10,c1,p05,l4,3609
i41,e11,c1,p03,l3,1741
i38,e10,c1,p35,l2,715
i38,e11,c1,p07,l2,1926
i38,e11,c1,p04,l2,1802
i38,e06,c1,p04,l3,1833
i38,e10,c1,p31,l3,2091
i06,e11,c5,p21,l2,2086
i06,e04,c5,p26,l1,7
i17,e01,c5,p12,l3,1723
i38,e06,c7,p14,l3,3441
i14,e01,c5,p19,l3,1754
i02,e01,c1,p11,l3,1912
i06,e11,c5,p11,l2,1995
i06,e10,c5,p16,l1,93
i17,e08,c5,p19,l3,1888
i02,e04,c1,p06,l3,1750
i02,e04,c1,p16,l3,1836
i06,e09,c5,p02,l2,17
i38,e12,c1,p19,l3,1731
i32,e11,c5,p35,l3,1732
i14,e04,c5,p11,l3,1720
i38,e01,c1,p01,l3,1793
i38,e09,c1,p09,l2,30
i41,e01,c1,p21,l3,1727
i38,e09,c1,p31,l2,20
i38,e10,c4,p02,l4,1752
i02,e04,c1,p24,l3,1755
i38,e11,c4,p10,l2,1735
i06,e04,c5,p28,l1,57
i17,e09,c5,p25,l3,1725
i46,e04,c1,p28,l3,1736
i06,e10,c3,p11,l4,1728
i14,e08,c5,p14,l3,1753
i16,e04,c5,p10,l3,1744
i02,e04,c1,p07,l3,1779
i34,e01,c5,p11,l3,1730
i38,e09,c4,p10,l2,5
i34,e01,c5,p24,l3,1728
i41,e01,c1,p19,l3,1724
i05,e03,c1,p11,l3,1722
i41,e01,c1,p24,l3,1722
i46,e08,c4,p10,l3,1726
i17,e11,c5,p35,l3,1737
i41,e01,c1,p18,l3,3443
i46,e08,c1,p17,l3,1722
i41,e07,c1,p04,l3,1721
i38,e04,c1,p28,l1,18
i06,e12,c3,p11,l3,1722
i38,e10,c4,p15,l2,3
i41,e07,c1,p15,l3,1725
i41,e09,c1,p13,l3,1722
i32,e08,c5,p01,l3,1720
i14,e01,c5,p22,l3,1725
i17,e09,c5,p32,l3,1720
i46,e08,c4,p01,l3,1720
i27,e09,c5,p35,l3,1720
i34,e01,c5,p15,l3,1721
i06,e01,c3,p23,l3,1722
i22,e05,c5,p16,l3,1720
i21,e09,c1,p12,l3,1720
i42,e05,c3,p07,l3,1720
i41,e01,c1,p02,l3,1721
i14,e01,c5,p24,l3,1721
i13,e08,c5,p02,l3,1721
i48,e08,c1,p10,l3,1720
i06,e10,c5,p01,l3,46917
i06,e08,c5,p35,l2,1493
i16,e08,c5,p14,l3,1763
i17,e08,c5,p32,l3,1739
i38,e10,c1,p13,l4,4504
i06,e08,c5,p20,l2,104
i38,e08,c1,p21,l2,211
i38,e10,c1,p18,l3,10608
i06,e12,c5,p06,l3,1773
i23,e08,c5,p10,l3,1740
i09,e09,c5,p14,l3,1721
i13,e08,c5,p12,l3,1736
i12,e01,c5,p01,l3,1725
i07,e04,c5,p35,l3,1740
i17,e11,c5,p10,l3,2648
i06,e10,c5,p17,l1,90
i02,e04,c1,p01,l3,1994
i38,e10,c4,p18,l4,3467
i31,e08,c1,p35,l3,2281
i19,e10,c5,p10,l4,1730
i06,e11,c5,p14,l2,1834
i16,e09,c5,p21,l3,1723
i06,e09,c5,p24,l2,77
i46,e11,c1,p11,l3,1899
i06,e10,c5,p06,l2,95
i38,e09,c1,p32,l2,6
i46,e09,c1,p35,l3,1780
i38,e06,c7,p13,l3,3454
i39,e09,c5,p29,l3,1721
i39,e01,c5,p11,l3,1724
i46,e01,c1,p01,l3,1726
i17,e11,c5,p12,l3,1766
i21,e03,c1,p12,l3,1721
i39,e04,c5,p24,l3,1727
i17,e11,c5,p16,l3,1797
i02,e04,c1,p25,l3,1736
i34,e09,c5,p06,l3,1722
i05,e06,c1,p07,l3,1722
i16,e08,c5,p01,l3,1731
i01,e08,c1,p06,l3,1722
i18,e04,c1,p35,l3,1725
i30,e01,c1,p10,l3,1732
i41,e08,c1,p14,l3,1725
i17,e01,c5,p18,l3,3443
i03,e09,c5,p21,l3,1722
i34,e01,c5,p04,l3,1724
i14,e08,c5,p30,l3,1729
i46,e09,c1,p29,l3,1724
i14,e01,c5,p16,l3,1724
i07,e08,c5,p16,l3,1720
i06,e07,c5,p17,l2,2
i03,e08,c5,p19,l3,1720
i01,e08,c1,p28,l3,1725
i41,e01,c1,p15,l3,1723
i16,e08,c5,p09,l3,1721
i30,e09,c1,p16,l3,1721
i03,e09,c5,p10,l3,1722
i50,e01,c1,p35,l3,1725
i13,e11,c5,p17,l3,1727
i23,e01,c5,p22,l3,1721
i34,e04,c5,p05,l3,1726
i13,e11,c5,p15,l3,1726
i48,e11,c1,p17,l3,1721
i38,e10,c1,p30,l2,1
i05,e03,c1,p25,l3,1720
i06,e07,c5,p03,l2,1
i67,e04,c5,p05,l3,1720
i06,e07,c5,p13,l2,3
i13,e03,c5,p19,l3,1722
i07,e04,c5,p02,l3,1720
i41,e05,c1,p12,l3,1720
i38,e11,c4,p04,l2,1720
i05,e07,c1,p28,l3,1721
i06,e05,c5,p17,l1,1
i30,e01,c1,p14,l3,1720
i23,e11,c5,p35,l3,1721
i14,e12,c5,p09,l3,1721
i16,e08,c5,p18,l3,3439
i43,e01,c1,p03,l3,1720
i06,e12,c5,p28,l3,1762
i02,e08,c1,p17,l3,2629
i38,e10,c1,p21,l4,3996
i06,e12,c5,p24,l3,1904
i06,e08,c5,p04,l2,1376
i27,e08,c5,p21,l3,1725
i38,e06,c1,p10,l3,3926
i38,e08,c1,p04,l2,178
i06,e10,c5,p20,l3,7590
i39,e04,c5,p28,l3,1725
i14,e08,c5,p07,l3,1755
i06,e04,c5,p02,l1,53
i34,e09,c5,p15,l3,1732
i06,e10,c5,p31,l3,4761
i17,e08,c5,p28,l3,1738
i17,e01,c5,p04,l3,1737
i39,e01,c5,p35,l3,1854
i38,e10,c1,unknown,l3,1721
i06,e09,c5,p11,l2,80
i06,e01,c5,p32,l3,1760
i39,e01,c5,p07,l3,1723
i38,e01,c1,p14,l3,1779
i17,e01,c5,p23,l3,1733
i14,e08,c5,p32,l3,1761
i02,e09,c1,p22,l3,1733
i06,e10,c5,p06,l1,50
i33,e01,c1,p02,l3,1721
i06,e01,c5,p07,l3,1800
i13,e11,c5,p35,l3,1743
i14,e09,c5,p12,l3,1725
i38,e10,c4,p16,l3,1737
i06,e08,c3,p35,l2,47
i13,e08,c5,p03,l3,1737
i23,e03,c5,p11,l3,1721
i38,e11,c1,p31,l2,1728
i05,e08,c1,p16,l3,1729
i34,e08,c5,p02,l3,1744
i34,e04,c5,p22,l3,1732
i39,e01,c5,p29,l3,1726
i38,e06,c4,p12,l3,1734
i30,e01,c1,p18,l3,3439
i34,e08,c5,p03,l3,1733
i05,e07,c1,p19,l3,1732
i07,e08,c5,p04,l3,1720
i14,e08,c5,p23,l3,1733
i39,e09,c5,p13,l3,1728
i38,e11,c4,p01,l2,1722
i03,e01,c5,p14,l3,1721
i23,e01,c5,p02,l3,1720
i46,e06,c4,p13,l3,1720
i38,e11,c4,p03,l2,1726
i14,e04,c5,p22,l3,1726
i23,e03,c5,p01,l3,1723
i14,e09,c5,p22,l3,1720
i39,e01,c5,p12,l3,1727
i05,e07,c1,p14,l3,1721
i08,e04,c1,p10,l3,1721
i05,e04,c1,p03,l3,1720
i07,e09,c5,p12,l3,1720
i23,e04,c5,p12,l3,1720
i17,e01,c5,p28,l3,1720
i13,e04,c5,p14,l3,1720
i05,e12,c1,p06,l3,1721
i38,e09,c7,p14,l2,1721
i16,e09,c5,p22,l3,1720
i05,e09,c1,p13,l3,1721
i16,e08,c5,p16,l3,1720
i23,e04,c5,p17,l3,1721
i46,e01,c4,p19,l3,1722
i17,e01,c5,p24,l3,1722
i17,e09,c5,p28,l3,1720
i01,e04,c1,p16,l3,1720
i27,e01,c5,p12,l3,1720
i38,e10,c4,p28,l2,2
i17,e01,c5,p25,l3,1721
i06,e10,c5,p10,l3,199664
i38,e10,c1,p03,l3,25630
i38,e10,c1,p16,l3,11094
i06,e10,c5,p29,l4,2914
i34,e04,c5,p15,l3,1735
i38,e10,c1,p09,l3,6869
i02,e09,c1,p04,l3,1770
i05,e04,c1,p35,l3,1756
i38,e08,c1,p05,l2,265
i34,e04,c5,p03,l3,1753
i02,e01,c1,p13,l3,1819
i06,e11,c5,p07,l2,1975
i06,e12,c5,p04,l3,1861
i34,e03,c5,p29,l3,1790
i38,e04,c1,p06,l1,10
i06,e09,c5,p21,l2,118
i38,e10,c1,p21,l2,57
i06,e10,c5,p29,l2,39
i18,e09,c1,p35,l3,1762
i38,e10,c1,p17,l2,61
i43,e09,c1,p35,l3,1725
i13,e08,c5,p35,l3,1739
i13,e08,c5,p19,l3,1738
i21,e12,c1,p03,l3,1726
i31,e04,c1,p35,l3,1732
i41,e11,c1,p01,l3,1728
i38,e11,c1,p23,l2,1762
i41,e01,c1,p35,l3,1728
i16,e08,c5,p02,l3,1739
i34,e04,c5,p12,l3,1723
i06,e10,c3,p18,l4,3452
i49,e06,c1,p01,l3,1721
i33,e09,c1,p02,l3,1724
i34,e01,c5,p35,l3,1736
i01,e09,c1,p01,l3,1722
i38,e10,c1,unknown,l3,1730
i05,e11,c1,p19,l3,1721
i13,e08,c5,p04,l3,1732
i23,e09,c5,p02,l3,1721
i26,e08,c1,p35,l3,1721
i17,e04,c5,p24,l3,1738
i14,e01,c5,p12,l3,1724
i14,e04,c5,p18,l3,3442
i66,e09,c3,p35,l3,1723
i02,e09,c1,p08,l3,1728
i17,e05,c5,p35,l3,1724
i34,e05,c5,p19,l3,1720
i05,e09,c1,p05,l3,1721
i33,e03,c1,p10,l3,1723
i03,e01,c5,p16,l3,1720
i38,e10,c4,p13,l1,2
i07,e08,c5,p02,l3,1720
i16,e01,c5,p32,l3,1720
i06,e10,c3,p14,l4,1720
i06,e08,c3,p07,l2,1
i44,e01,c3,p35,l3,1721
i14,e08,c3,p10,l3,1721
i41,e04,c1,p13,l3,1720
i06,e01,c3,p05,l3,1720
i06,e10,c5,p14,l4,3293
i06,e10,c5,p19,l3,115268
i38,e10,c4,p18,l3,3628
i02,e08,c1,p13,l3,2308
i61,e11,c1,p35,l3,1750
i06,e11,c5,p05,l2,2052
i06,e08,c5,p17,l2,2185
i41,e09,c1,p05,l3,1723
i06,e10,c3,p07,l3,1901
i38,e11,c1,p05,l2,1928
i30,e04,c1,p19,l3,1752
i06,e08,c5,p24,l2,1065
i06,e01,c5,p24,l3,1802
i06,e04,c5,p31,l1,8
i06,e01,c5,p01,l3,1837
i38,e08,c1,p17,l2,131
i15,e04,c6,p35,l3,3493
i02,e08,c1,p16,l3,1805
i30,e01,c1,p19,l3,1738
i06,e11,c5,p29,l2,1827
i02,e08,c1,p02,l3,1828
i38,e08,c1,p24,l2,67
i06,e10,c5,p30,l4,1755
i38,e04,c1,p21,l1,65
i34,e08,c5,p35,l3,1776
i14,e08,c5,p04,l3,1746
i46,e11,c1,p10,l3,1732
i38,e08,c1,p18,l2,1906
i12,e08,c5,p18,l3,3445
i06,e10,c3,p12,l3,1840
i06,e09,c5,p01,l2,88
i32,e08,c5,p35,l3,1756
i42,e05,c3,p21,l3,1740
i23,e12,c5,p10,l3,2397
i17,e04,c5,p15,l3,1752
i38,e09,c1,p02,l2,30
i22,e05,c5,p15,l3,1721
i05,e12,c1,p11,l3,1732
i05,e01,c1,p15,l3,1723
i42,e02,c5,p05,l3,1720
i30,e01,c1,p05,l3,1723
i05,e01,c1,p31,l3,1720
i14,e01,c5,p07,l3,1738
i06,e05,c5,p16,l1,9
i16,e01,c5,p07,l3,1723
i38,e12,c1,p23,l3,1723
i05,e09,c1,p06,l3,1722
i34,e01,c5,p29,l3,1728
i38,e01,c1,p30,l3,1722
i38,e04,c4,p10,l1,5
i39,e01,c5,p26,l3,1722
i23,e01,c5,p29,l3,1721
i41,e07,c1,p28,l3,1724
i17,e11,c5,p09,l3,1727
i07,e08,c5,p03,l3,1721
i39,e01,c5,p17,l3,1721
i34,e09,c5,p18,l3,3444
i06,e05,c5,p11,l1,2
i05,e03,c1,p13,l3,1721
i14,e05,c5,p22,l3,1722
i06,e07,c5,p11,l2,1
i14,e11,c5,p15,l3,1721
i05,e01,c1,p14,l3,1720
i30,e09,c1,p11,l3,1720
i14,e11,c5,p16,l3,1721
i67,e09,c5,p10,l3,1722
i13,e03,c5,p15,l3,1721
i38,e11,c4,p12,l2,1724
i03,e09,c5,p11,l3,1720
i34,e09,c5,p14,l3,1720
i43,e04,c1,p07,l3,1720
i38,e07,c1,p28,l2,1
i06,e12,c3,p02,l3,1720
i38,e08,c4,p17,l2,2
i16,e04,c5,p26,l3,1720
i16,e01,c5,p18,l3,3439
i38,e05,c1,p11,l1,1
